x,z,erosion,U,βz,h_wb,slope
1425.0,1887.2954545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1430.0,1886.9,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1435.0,1886.5045454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1440.0,1886.1090909090908,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1445.0,1885.7136363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1450.0,1885.3181818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1455.0,1884.9227272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1460.0,1884.5272727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1465.0,1884.1318181818183,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1470.0,1883.7363636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1475.0,1883.340909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1480.0,1882.9454545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1485.0,1882.55,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1490.0,1882.1545454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1495.0,1881.759090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1500.0,1881.3636363636365,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1505.0,1880.9681818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
